T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
58.633999,26.965929,22.814861,27.111313,473.722382,142.936142,-63.788853,187.386078,312.753448,1639.916260,1579.918945,1914.679321,1.163343,1.163491,1.163311,1.163742,1.163888,1.163877,1.163606,1.163482,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179250,-0.054085,0.024137,-0.070904,-0.118342,-0.620522,-0.597820,-0.724489
62.229000,26.957500,22.808119,27.111750,474.807007,143.219147,-63.729435,187.843735,313.074768,1639.664795,1579.256714,1915.657593,1.163332,1.163467,1.163295,1.163753,1.163910,1.163885,1.163649,1.163543,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179661,-0.054192,0.024114,-0.071078,-0.118463,-0.620427,-0.597570,-0.724859
65.766998,26.964008,22.843958,27.110374,474.148773,142.704315,-64.020767,187.498108,313.125397,1639.852051,1579.808594,1915.952271,1.163349,1.163460,1.163316,1.163773,1.163915,1.163885,1.163644,1.163493,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179412,-0.053997,0.024225,-0.070947,-0.118482,-0.620498,-0.597778,-0.724971
69.330002,26.965929,22.854324,27.109938,474.205658,141.943665,-64.394989,187.079880,312.327728,1639.250366,1579.866943,1915.518799,1.163298,1.163456,1.163319,1.163745,1.163918,1.163887,1.163639,1.163507,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179433,-0.053710,0.024366,-0.070789,-0.118181,-0.620270,-0.597800,-0.724807
72.903999,26.964808,22.877489,27.112562,473.974518,142.049332,-64.602936,186.605377,312.390594,1638.961670,1579.946045,1915.374634,1.163304,1.163442,1.163283,1.163774,1.163918,1.163861,1.163594,1.163472,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179346,-0.053750,0.024445,-0.070609,-0.118204,-0.620161,-0.597830,-0.724752
76.544998,26.968596,22.896532,27.111626,474.233704,141.660721,-64.398972,186.749130,312.275085,1638.895874,1578.810303,1914.175781,1.163320,1.163445,1.163298,1.163781,1.163889,1.163843,1.163602,1.163469,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179444,-0.053603,0.024368,-0.070663,-0.118161,-0.620136,-0.597401,-0.724298
80.093002,26.977291,22.862440,27.107750,474.205658,141.732834,-64.864540,186.531143,312.181885,1639.071655,1580.053345,1913.999023,1.163325,1.163474,1.163303,1.163787,1.163916,1.163896,1.163621,1.163474,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179433,-0.053630,0.024544,-0.070581,-0.118125,-0.620203,-0.597871,-0.724232
83.688004,26.985186,22.853449,27.109312,473.833160,141.386398,-65.079880,186.159531,311.645233,1638.539429,1577.962402,1913.922974,1.163311,1.163478,1.163284,1.163741,1.163897,1.163879,1.163609,1.163481,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179292,-0.053499,0.024625,-0.070440,-0.117922,-0.620001,-0.597080,-0.724203
87.270996,26.989880,22.849766,27.110313,473.815948,141.155823,-65.213486,185.305649,312.140442,1638.235107,1579.500610,1914.679443,1.163322,1.163476,1.163312,1.163759,1.163893,1.163858,1.163609,1.163485,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179286,-0.053411,0.024676,-0.070117,-0.118110,-0.619886,-0.597662,-0.724489
91.001999,26.992067,22.799627,27.110374,474.207489,141.258881,-65.467072,185.810989,311.843475,1638.065796,1579.003174,1914.753540,1.163319,1.163466,1.163290,1.163775,1.163917,1.163875,1.163624,1.163485,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179434,-0.053450,0.024772,-0.070308,-0.117997,-0.619822,-0.597474,-0.724517
