T  (s),T1,T2,T3,One,Two,Three,Four,Five,Six,Seven,Eight,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
54.078999,26.967049,22.660076,27.282249,1661.025146,381.380188,-272.612213,-444.797699,-669.845093,1064.486694,1733.439941,2059.362061,1.165415,1.165571,1.165391,1.165862,1.166049,1.165997,1.165670,1.165629,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.628510,-0.144309,0.103153,0.168305,0.253460,-0.402787,-0.655910,-0.779235
57.341999,26.967102,22.666569,27.281376,1662.306152,382.677368,-268.776825,-435.922180,-657.293152,1076.323364,1742.355957,2065.354736,1.165458,1.165559,1.165403,1.165890,1.166022,1.165981,1.165653,1.165587,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.628994,-0.144800,0.101702,0.164947,0.248711,-0.407266,-0.659284,-0.781502
60.594002,26.962568,22.688360,27.284813,1663.305908,386.735931,-261.076202,-425.975952,-648.177734,1083.381104,1746.308960,2069.660156,1.165448,1.165554,1.165403,1.165841,1.166004,1.165931,1.165631,1.165585,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.629373,-0.146336,0.098788,0.161184,0.245262,-0.409937,-0.660780,-0.783132
63.855000,26.961021,22.685677,27.279499,1665.306152,391.971436,-253.584076,-418.050446,-642.153687,1089.763062,1750.983765,2073.773193,1.165424,1.165570,1.165381,1.165819,1.165984,1.165921,1.165617,1.165552,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.630130,-0.148317,0.095953,0.158185,0.242982,-0.412352,-0.662549,-0.784688
67.106003,26.936802,22.667255,27.279625,1667.240723,396.426422,-248.555374,-413.286041,-637.888428,1093.754761,1754.223633,2077.309326,1.165382,1.165539,1.165379,1.165842,1.166004,1.165952,1.165635,1.165543,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.630861,-0.150002,0.094050,0.156382,0.241368,-0.413862,-0.663775,-0.786026
70.362999,26.938242,22.663198,27.286062,1671.295166,400.719757,-243.912384,-409.009552,-633.992126,1097.679687,1757.579834,2079.603027,1.165397,1.165548,1.165378,1.165854,1.166044,1.165964,1.165643,1.165557,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.632396,-0.151627,0.092293,0.154764,0.239894,-0.415347,-0.665045,-0.786894
73.617996,26.947418,22.668381,27.278313,1671.682373,403.831940,-241.474075,-405.941467,-630.788818,1100.125122,1758.012939,2081.372803,1.165355,1.165503,1.165356,1.165826,1.165994,1.165903,1.165593,1.165492,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.632542,-0.152805,0.091371,0.153603,0.238682,-0.416273,-0.665208,-0.787563
76.880997,26.960327,22.676872,27.285187,1672.376221,406.887512,-238.467484,-402.256897,-628.673096,1102.131348,1759.879150,2082.772217,1.165310,1.165498,1.165303,1.165844,1.165995,1.165954,1.165611,1.165553,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.632805,-0.153961,0.090233,0.152209,0.237881,-0.417032,-0.665915,-0.788093
80.139000,26.963902,22.669441,27.285000,1673.755005,409.063446,-236.092560,-400.064301,-626.367798,1103.930298,1761.199341,2083.875000,1.165404,1.165550,1.165372,1.165835,1.166005,1.165943,1.165635,1.165564,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.633326,-0.154784,0.089334,0.151379,0.237009,-0.417712,-0.666414,-0.788510
83.400002,26.970997,22.662762,27.284374,1680.236206,412.532318,-233.577301,-397.497986,-621.532593,1108.769043,1763.638550,2085.035889,1.165398,1.165556,1.165398,1.165840,1.166007,1.165962,1.165647,1.165540,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.635779,-0.156097,0.088383,0.150408,0.235180,-0.419543,-0.667337,-0.788950
86.653999,26.971849,22.673876,27.282688,1677.706299,419.283691,-228.232437,-392.807739,-621.310913,1108.529419,1762.566284,2083.917236,1.165380,1.165568,1.165381,1.165869,1.166008,1.165988,1.165666,1.165588,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.634822,-0.158651,0.086360,0.148633,0.235096,-0.419453,-0.666931,-0.788526
89.913002,26.974197,22.685926,27.284000,1680.040161,421.160950,-226.622665,-391.253906,-621.080750,1108.093384,1761.879150,2083.547852,1.165432,1.165575,1.165377,1.165881,1.166008,1.165938,1.165640,1.165565,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.635705,-0.159362,0.085751,0.148045,0.235009,-0.419288,-0.666671,-0.788387
93.170998,26.987534,22.699287,27.282812,1681.369385,422.713013,-225.177338,-390.977020,-620.460815,1108.066284,1762.695312,2085.750977,1.165391,1.165535,1.165350,1.165843,1.165973,1.165936,1.165604,1.165539,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.636208,-0.159949,0.085204,0.147940,0.234774,-0.419277,-0.666980,-0.789220
96.433998,26.995642,22.670504,27.284000,1685.026123,425.242737,-221.876129,-387.765900,-616.883301,1112.357666,1766.523437,2088.989014,1.165379,1.165541,1.165401,1.165846,1.165998,1.165954,1.165651,1.165562,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.637591,-0.160906,0.083955,0.146725,0.233420,-0.420901,-0.668429,-0.790445
99.695999,26.977505,22.622301,27.285688,1688.142334,429.624115,-217.373489,-383.595612,-610.401062,1116.092163,1771.018799,2093.177246,1.165413,1.165566,1.165372,1.165874,1.166038,1.166011,1.165677,1.165606,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.638770,-0.162564,0.082251,0.145147,0.230968,-0.422314,-0.670130,-0.792030
