T  (s),CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Inj.,Val.
65.919998,4389.658203,4595.743164,4180.407227,332.092682,-774.97113,-659.802612,-415.007233,-2233.905762,1.0,3.0
69.419998,4389.118164,4594.439941,4179.286133,332.439392,-774.003296,-658.661499,-413.245422,-2231.656494,1.0,3.0
72.879997,4388.049805,4593.181641,4180.097168,334.055054,-771.634644,-656.446228,-410.736359,-2230.150635,1.0,3.0
76.379997,4388.691895,4591.866699,4180.384766,335.410858,-769.542114,-654.289734,-408.869049,-2229.886963,1.0,3.0
79.879997,4388.474609,4591.578125,4180.266602,336.62796,-768.132996,-652.652466,-409.65979,-2228.981934,1.0,3.0
83.379997,4395.194824,4591.291992,4181.134766,337.188782,-766.454834,-651.318237,-407.709625,-2228.475098,1.0,3.0
86.879997,4395.276367,4590.585937,4180.624512,338.799591,-765.899902,-650.670471,-410.635223,-2227.11792,1.0,3.0
90.379997,4389.209473,4589.668945,4181.30127,338.41275,-762.609741,-649.362183,-406.809875,-2225.770264,1.0,3.0
93.919998,4393.727051,4590.69043,4181.04834,339.105377,-764.492187,-649.227478,-405.966003,-2226.420898,1.0,3.0
97.470001,4392.730469,4587.738281,4178.687012,341.196625,-762.963074,-646.361633,-404.381409,-2226.762939,1.0,3.0
100.970001,4387.473145,4587.530762,4177.989258,341.672272,-760.907654,-644.921997,-404.199066,-2224.421387,1.0,3.0
104.470001,4390.0625,4584.722656,4175.861328,343.662384,-759.55658,-639.81073,-399.316376,-2220.277832,1.0,3.0
107.970001,4386.867187,4586.825195,4176.651855,351.617798,-747.879089,-630.374634,-382.52124,-2199.056396,1.0,3.0
111.470001,4391.603516,4593.925293,4186.576172,376.506622,-716.427673,-589.651978,-328.185669,-2148.863037,1.0,3.0
115.029999,4406.362305,4615.658203,4202.757324,453.242828,-632.355652,-499.543152,-237.903717,-2061.382812,1.0,3.0
