T  (s)	T1	T2	T3	CL1cBAK2	CL2polyAC	CL3cBAK2	CL4polyAC	CL5cBAK2	CL6polyAC	CL7cBAK2	CL8polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
53.918999	26.994389	22.616306	27.063313	-245.684128	317.830017	-546.620483	319.069305	392.652222	62.527733	272.769379	-40.562637	1.035165	1.035281	1.034905	1.035949	1.035992	1.036077	1.035771	1.035601	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092964	-0.120263	0.206834	-0.120732	-0.148574	-0.023660	-0.103212	0.015348
57.172001	26.990067	22.646090	27.064438	-245.867935	317.407806	-546.955200	318.921295	392.261993	62.651928	272.767181	-41.529739	1.035247	1.035342	1.035122	1.036073	1.036250	1.036469	1.035995	1.035933	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093033	-0.120103	0.206960	-0.120676	-0.148427	-0.023707	-0.103211	0.015714
60.452000	27.002975	22.625984	27.062750	-245.620789	317.387512	-546.763489	319.149078	392.080963	62.604191	272.529572	-39.500618	1.035445	1.035185	1.034823	1.035708	1.035659	1.035985	1.035389	1.035389	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092940	-0.120095	0.206888	-0.120762	-0.148358	-0.023689	-0.103122	0.014947
63.709000	26.987133	22.616119	27.064438	-246.384216	316.928101	-546.841309	318.417755	391.505829	61.609409	271.686157	-39.709496	1.034947	1.035158	1.034754	1.035792	1.035835	1.036126	1.035638	1.035691	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093228	-0.119921	0.206917	-0.120485	-0.148141	-0.023312	-0.102802	0.015026
66.966003	26.983932	22.612373	27.062687	-245.946915	317.102722	-546.772461	318.420990	391.550110	61.986629	271.866425	-39.495121	1.035016	1.035234	1.035171	1.036105	1.035988	1.036144	1.035785	1.035575	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093063	-0.119987	0.206891	-0.120486	-0.148157	-0.023455	-0.102871	0.014944
70.225998	26.979292	22.614746	27.062750	-246.016434	317.157990	-547.383423	318.184753	392.270264	61.641174	271.797974	-45.216763	1.034825	1.035074	1.034867	1.035889	1.035913	1.036024	1.035544	1.035605	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093089	-0.120008	0.207123	-0.120397	-0.148430	-0.023324	-0.102845	0.017109
73.486000	26.985106	22.640034	27.061562	-246.225876	316.890015	-546.994629	318.407928	393.348694	61.906631	271.960327	-48.672699	1.035013	1.035214	1.034987	1.035923	1.036053	1.036141	1.035724	1.035720	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093169	-0.119907	0.206975	-0.120481	-0.148838	-0.023425	-0.102906	0.018417
76.744003	26.980465	22.672937	27.063313	-246.397751	316.744843	-547.006958	317.992340	391.661377	61.517605	271.801666	-41.611351	1.035286	1.035467	1.035215	1.036201	1.036074	1.036335	1.035848	1.035796	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093234	-0.119852	0.206980	-0.120324	-0.148199	-0.023277	-0.102846	0.015745
80.000000	26.984039	22.690670	27.065001	-247.070328	316.264404	-547.852234	317.078308	390.555511	60.865189	271.076233	-42.017879	1.035226	1.035604	1.035312	1.036319	1.036247	1.036499	1.036097	1.035971	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093488	-0.119670	0.207300	-0.119978	-0.147781	-0.023031	-0.102572	0.015899
83.258003	26.979399	22.675999	27.063063	-247.108154	316.090698	-548.012329	317.424774	390.322449	60.669380	270.706879	-46.932022	1.035561	1.035610	1.035245	1.036163	1.036361	1.036374	1.035863	1.035819	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093502	-0.119604	0.207361	-0.120109	-0.147693	-0.022956	-0.102432	0.017758
86.512001	26.951178	22.640657	27.060688	-247.139618	316.148804	-548.210266	317.406708	392.965912	60.748402	270.916443	-50.687538	1.035125	1.035417	1.035257	1.035979	1.035933	1.036155	1.035824	1.035761	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093514	-0.119626	0.207435	-0.120102	-0.148693	-0.022986	-0.102511	0.019179
89.771004	26.951818	22.646152	27.062813	-247.377228	315.990540	-548.312134	317.335022	391.302765	60.646183	270.797272	-41.125759	1.035298	1.035476	1.035285	1.036113	1.035884	1.036212	1.035743	1.035631	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093604	-0.119567	0.207474	-0.120075	-0.148064	-0.022948	-0.102466	0.015561
93.027000	26.943123	22.622862	27.062187	-247.702530	315.551910	-548.328430	317.054352	391.484344	60.730835	270.650269	-51.069160	1.035121	1.035277	1.034832	1.035753	1.035949	1.035950	1.035561	1.035454	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093727	-0.119401	0.207480	-0.119969	-0.148132	-0.022980	-0.102410	0.019324
96.288002	26.935709	22.587460	27.062750	-247.850250	315.248749	-548.294250	316.889587	391.093262	60.212872	270.297089	-41.394958	1.035047	1.035190	1.034958	1.035943	1.035896	1.036249	1.035709	1.035582	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093783	-0.119286	0.207467	-0.119907	-0.147984	-0.022784	-0.102277	0.015663
99.557999	26.933681	22.572599	27.062187	-248.073105	315.124054	-548.768127	316.451935	391.343689	59.964931	270.416077	-47.523983	1.034956	1.035323	1.034999	1.035819	1.035967	1.036108	1.035766	1.035661	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093868	-0.119239	0.207646	-0.119741	-0.148079	-0.022690	-0.102322	0.017982
102.813004	26.918104	22.589645	27.062313	-247.921341	314.818481	-548.944885	316.490387	391.928009	59.612926	269.739655	-48.240379	1.035128	1.035437	1.034957	1.035922	1.036034	1.035989	1.035732	1.035507	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093810	-0.119123	0.207713	-0.119756	-0.148300	-0.022557	-0.102066	0.018254
106.070999	26.919758	22.590269	27.063688	-248.648392	314.506989	-549.048462	316.031921	391.288391	59.773876	269.763885	-54.556381	1.034926	1.035111	1.034850	1.035812	1.035823	1.036047	1.035481	1.035447	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094085	-0.119005	0.207753	-0.119582	-0.148058	-0.022618	-0.102075	0.020643
109.323997	26.933254	22.557426	27.066063	-249.009171	314.560913	-549.310547	316.347260	391.937347	59.274071	269.619598	-48.687546	1.035036	1.035054	1.034868	1.035736	1.035818	1.036170	1.035628	1.035638	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094222	-0.119026	0.207852	-0.119702	-0.148304	-0.022429	-0.102020	0.018423
112.579002	26.930534	22.551744	27.063999	-249.118988	314.282471	-549.581482	315.521698	390.697388	58.832268	269.364807	-56.102921	1.034926	1.035132	1.034885	1.035782	1.035786	1.036110	1.035497	1.035607	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094263	-0.118920	0.207954	-0.119389	-0.147835	-0.022261	-0.101924	0.021229
115.837997	26.951605	22.574972	27.061125	-249.612854	314.127869	-549.989441	315.693542	391.909668	58.380363	268.971863	-61.620686	1.035053	1.035246	1.034865	1.035901	1.035994	1.036006	1.035570	1.035620	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094450	-0.118862	0.208109	-0.119454	-0.148293	-0.022090	-0.101775	0.023316
119.095001	26.948351	22.602943	27.060562	-249.566238	313.770660	-549.994507	315.396240	390.031219	58.409615	268.818695	-58.508644	1.034966	1.035232	1.034994	1.035744	1.035878	1.036081	1.035614	1.035581	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094433	-0.118727	0.208111	-0.119342	-0.147583	-0.022101	-0.101717	0.022139
122.347000	26.980839	22.627920	27.061438	-249.593445	313.746216	-550.220825	315.599487	391.646576	58.835537	268.843475	-56.960926	1.035182	1.035387	1.035041	1.035918	1.035961	1.036298	1.035837	1.035783	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094443	-0.118717	0.208196	-0.119419	-0.148194	-0.022263	-0.101727	0.021553
125.601997	26.975718	22.633726	27.059376	-249.883423	313.262207	-550.316956	315.133057	388.479614	58.270332	268.506897	-54.465279	1.035230	1.035483	1.035095	1.035821	1.035848	1.036080	1.035625	1.035563	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094553	-0.118534	0.208233	-0.119242	-0.146995	-0.022049	-0.101599	0.020609
128.854996	26.959873	22.591579	27.062063	-249.905838	313.200531	-550.107117	315.612091	390.693695	58.283104	268.396423	-49.792984	1.034969	1.035360	1.035100	1.035951	1.036128	1.036337	1.035960	1.035774	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094561	-0.118511	0.208153	-0.119423	-0.147833	-0.022054	-0.101558	0.018841
132.113998	26.984200	22.594328	27.060749	-249.996140	312.722626	-550.787903	315.146606	391.341156	57.957806	268.052124	-54.658203	1.035176	1.035452	1.035219	1.036324	1.036386	1.036352	1.035940	1.035773	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094595	-0.118330	0.208411	-0.119247	-0.148078	-0.021930	-0.101427	0.020682
135.365997	26.986067	22.591082	27.063749	-250.383011	312.835846	-550.587158	315.218658	391.899506	57.658440	268.240387	-61.681725	1.035319	1.035549	1.035280	1.036177	1.036262	1.036555	1.035820	1.035780	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094742	-0.118373	0.208335	-0.119274	-0.148290	-0.021817	-0.101499	0.023340
138.623993	26.992201	22.615307	27.059813	-250.416534	312.667297	-550.752625	314.791260	391.343750	57.687347	268.180603	-59.852345	1.035255	1.035457	1.035199	1.036144	1.036280	1.036359	1.036051	1.035859	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094754	-0.118309	0.208397	-0.119113	-0.148079	-0.021828	-0.101476	0.022647
141.882004	26.989906	22.587646	27.062250	-250.359879	312.657990	-550.591003	315.146271	392.133484	57.578579	268.180695	-66.000656	1.035145	1.035333	1.035043	1.036070	1.035857	1.036033	1.035705	1.035709	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094733	-0.118306	0.208336	-0.119247	-0.148378	-0.021787	-0.101476	0.024974
145.136002	26.990761	22.610937	27.062813	-250.190796	312.649597	-550.560486	315.070862	392.027954	57.490719	268.120361	-68.188759	1.035254	1.035405	1.035124	1.036151	1.036054	1.036200	1.035869	1.035778	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094669	-0.118302	0.208325	-0.119219	-0.148338	-0.021754	-0.101453	0.025802
148.391998	26.995829	22.631166	27.060875	-250.348785	312.646881	-550.568115	314.906586	392.374512	57.340019	267.786469	-62.231243	1.035239	1.035346	1.035184	1.036293	1.036259	1.036363	1.035998	1.035830	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.094729	-0.118301	0.208328	-0.119156	-0.148469	-0.021697	-0.101327	0.023547
