T  (s)	T1	T2	T3	5然cBAK2	5然polyAC	5然cBAK2	5然polyAC	40然cBAK2	40然polyAC	40然cBAK2	40然polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
53.927002	26.973957	22.533762	26.973438	-2144.704346	1175.542603	-263.791290	500.649963	-268.144562	222.007034	112.778351	893.742981	1.148088	1.148259	1.148089	1.148648	1.148775	1.148842	1.148515	1.148457	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811527	-0.444810	0.099815	-0.189439	0.101462	-0.084004	-0.042674	-0.338180
57.187000	26.965368	22.541754	26.973938	-2144.384277	1175.127319	-263.830475	499.776306	-268.238861	222.187180	112.681870	893.346680	1.148111	1.148254	1.148080	1.148632	1.148801	1.148825	1.148497	1.148453	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811406	-0.444652	0.099830	-0.189109	0.101498	-0.084073	-0.042637	-0.338030
60.452000	26.983345	22.597637	26.972313	-2144.507568	1175.638062	-264.014313	500.691711	-267.992157	222.201477	112.790421	893.008545	1.148124	1.148242	1.148057	1.148621	1.148754	1.148809	1.148514	1.148464	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811453	-0.444846	0.099899	-0.189455	0.101405	-0.084078	-0.042678	-0.337902
63.708000	26.989321	22.625360	26.972687	-2144.301270	1175.515625	-264.137512	500.470673	-268.130981	221.984619	112.746445	892.824097	1.148138	1.148250	1.148077	1.148600	1.148776	1.148795	1.148497	1.148449	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811375	-0.444799	0.099946	-0.189371	0.101457	-0.083996	-0.042662	-0.337833
66.966003	26.988253	22.634413	26.973938	-2144.400391	1174.983887	-264.063721	501.099396	-268.247528	221.945221	112.755783	893.156311	1.148144	1.148235	1.148077	1.148602	1.148773	1.148810	1.148531	1.148474	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811412	-0.444598	0.099918	-0.189609	0.101501	-0.083981	-0.042665	-0.337958
70.222000	26.985479	22.606066	26.971437	-2144.367676	1175.268555	-264.066711	500.391144	-268.078827	221.723938	112.867455	892.906189	1.148139	1.148252	1.148049	1.148595	1.148768	1.148825	1.148502	1.148452	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811400	-0.444706	0.099919	-0.189341	0.101437	-0.083897	-0.042708	-0.337864
73.475998	26.988253	22.617929	26.972876	-2144.048096	1175.475098	-263.864594	500.556671	-268.076050	222.094635	112.808929	893.009033	1.148133	1.148285	1.148085	1.148638	1.148798	1.148843	1.148497	1.148506	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811279	-0.444784	0.099843	-0.189404	0.101436	-0.084038	-0.042685	-0.337903
76.726997	27.007351	22.619429	26.973749	-2144.158936	1175.743652	-263.738983	499.504883	-267.935394	221.893143	113.110199	892.701050	1.148126	1.148260	1.148096	1.148657	1.148787	1.148850	1.148533	1.148499	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811321	-0.444886	0.099795	-0.189006	0.101383	-0.083961	-0.042799	-0.337786
80.002998	27.015245	22.617929	26.974001	-2144.471436	1175.366089	-264.102692	499.388031	-268.112549	221.378738	112.632416	892.320801	1.148099	1.148242	1.148067	1.148648	1.148786	1.148824	1.148492	1.148445	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811439	-0.444743	0.099933	-0.188962	0.101450	-0.083767	-0.042619	-0.337642
83.263000	27.008951	22.620802	26.974188	-2144.355713	1175.156372	-264.178864	499.140320	-268.493073	220.908875	112.275215	892.491943	1.148126	1.148284	1.148075	1.148622	1.148785	1.148817	1.148476	1.148444	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811395	-0.444663	0.099962	-0.188868	0.101594	-0.083589	-0.042483	-0.337707
