T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
54.200001,26.970846,23.183002,26.966,-3128.985596,5339.878906,1480.725708,2791.407959,-123.684494,782.454407,-2154.175781,41.985809,1.174437,1.174555,1.174572,1.174979,1.175128,1.175066,1.174926,1.174937,1.0,3.0,9900.0,50.0,480.0,27.0,1.183966,-2.020538,-0.560287,-1.056231,0.046801,-0.29607,0.815111,-0.015887
57.509998,26.985411,23.189871,26.964813,-3180.221924,5326.253418,1484.143433,2807.108154,-103.146011,802.295837,-2138.224609,57.444607,1.174459,1.174519,1.174605,1.174955,1.175122,1.175043,1.174862,1.174932,1.0,3.0,9900.0,50.0,480.0,27.0,1.203353,-2.015383,-0.56158,-1.062172,0.039029,-0.303578,0.809075,-0.021736
60.759998,26.987383,23.180943,26.9645,-3167.186768,5337.883789,1501.179199,2821.890381,-87.949608,817.183716,-2127.865723,67.740379,1.174388,1.17453,1.174564,1.17491,1.175111,1.175043,1.174892,1.174934,1.0,3.0,9900.0,50.0,480.0,27.0,1.198421,-2.019783,-0.568026,-1.067765,0.033279,-0.309211,0.805156,-0.025632
64.010002,26.979969,23.157278,26.964312,-3155.689209,5349.387207,1515.052002,2832.325195,-79.695793,825.763733,-2122.736084,73.133965,1.174426,1.174538,1.174582,1.174989,1.175161,1.175101,1.174911,1.174919,1.0,3.0,9900.0,50.0,480.0,27.0,1.19407,-2.024136,-0.573275,-1.071714,0.030156,-0.312458,0.803215,-0.027673
67.260002,26.987917,23.162024,26.967375,-3150.129395,5356.616699,1520.621582,2839.797119,-73.534462,829.605225,-2119.920898,79.728874,1.174442,1.174507,1.174558,1.174962,1.175134,1.175058,1.174874,1.174907,1.0,3.0,9900.0,50.0,480.0,27.0,1.191967,-2.026872,-0.575383,-1.074541,0.027824,-0.313911,0.80215,-0.030168
70.510002,26.996719,23.191931,26.962999,-3139.344238,5364.862305,1528.487915,2848.159668,-65.502312,835.299927,-2112.780762,88.082672,1.174461,1.174515,1.174597,1.175002,1.175163,1.17506,1.174876,1.174919,1.0,3.0,9900.0,50.0,480.0,27.0,1.187886,-2.029992,-0.578359,-1.077705,0.024785,-0.316066,0.799448,-0.033329
73.760002,27.023712,23.220154,26.963562,-3138.990723,5369.60791,1531.671997,2849.362793,-64.527954,840.40979,-2112.891113,90.388382,1.174448,1.174472,1.174544,1.174909,1.17513,1.175042,1.174893,1.174921,1.0,3.0,9900.0,50.0,480.0,27.0,1.187752,-2.031787,-0.579564,-1.078161,0.024417,-0.318,0.79949,-0.034202
77.010002,27.005415,23.184313,26.965876,-3139.984863,5368.27832,1533.179321,2850.597656,-63.638775,841.131226,-2112.061523,93.050095,1.174348,1.174439,1.174503,1.174885,1.175089,1.175018,1.174838,1.174872,1.0,3.0,9900.0,50.0,480.0,27.0,1.188128,-2.031284,-0.580134,-1.078628,0.02408,-0.318273,0.799176,-0.035209
80.260002,27.008827,23.209103,26.963499,-3138.587891,5369.493652,1534.362915,2855.318848,-59.594585,845.626404,-2105.774414,97.862755,1.174382,1.174489,1.174509,1.17491,1.175105,1.175045,1.174911,1.1749,1.0,3.0,9900.0,50.0,480.0,27.0,1.187599,-2.031744,-0.580582,-1.080414,0.02255,-0.319974,0.796797,-0.03703
83.510002,27.011068,23.187935,26.966312,-3136.704346,5372.789062,1538.059448,2857.239746,-56.643353,848.763916,-2102.798096,105.233047,1.174419,1.174506,1.174571,1.174959,1.175136,1.175039,1.174881,1.174909,1.0,3.0,9900.0,50.0,480.0,27.0,1.186887,-2.032991,-0.581981,-1.081141,0.021433,-0.321161,0.795671,-0.039819
86.760002,26.996559,23.200672,26.963751,-3133.307617,5375.638184,1540.064453,2859.589844,-54.469608,851.844482,-2098.317627,111.054291,1.174394,1.174466,1.174517,1.174916,1.175093,1.17499,1.174858,1.174901,1.0,3.0,9900.0,50.0,480.0,27.0,1.185601,-2.034069,-0.58274,-1.08203,0.020611,-0.322326,0.793975,-0.042021
90.010002,26.997679,23.166643,26.964563,-3129.795166,5378.129883,1542.997681,2861.721436,-49.35524,857.758545,-2092.621582,119.084335,1.174437,1.174527,1.174602,1.174948,1.175121,1.175061,1.174875,1.174882,1.0,3.0,9900.0,50.0,480.0,27.0,1.184272,-2.035012,-0.58385,-1.082837,0.018675,-0.324564,0.79182,-0.04506
93.260002,27.003387,23.158215,26.966249,-3126.151855,5383.958008,1544.602051,2865.818359,-47.292618,861.096252,-2090.042725,126.832741,1.174414,1.174519,1.174552,1.174971,1.175161,1.175071,1.174911,1.174937,1.0,3.0,9900.0,50.0,480.0,27.0,1.182894,-2.037217,-0.584457,-1.084387,0.017895,-0.325827,0.790844,-0.047992
