T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5McBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
53.950001,26.993534,22.509724,26.965687,-1029.123047,-2163.055908,-1211.911865,-1304.429199,-2096.510498,-1062.10144,-1005.531372,1819.527466,1.164954,1.165028,1.164874,1.165335,1.165423,1.165196,1.164725,0.381368,1.0,1.0,9800.0,50.0,600.0,27.0,0.389406,0.818471,0.458571,0.493578,0.793291,0.401885,0.38048,-0.688485
57.205002,26.997429,22.528143,26.96475,-1023.518188,-2154.049561,-1197.859009,-1287.554443,-2083.425293,-1047.967529,-1000.275818,1817.663452,1.165004,1.165079,1.164917,1.165318,1.165421,1.165195,1.164712,0.38064,1.0,1.0,9800.0,50.0,600.0,27.0,0.387286,0.815063,0.453254,0.487193,0.78834,0.396537,0.378491,-0.687779
60.456001,26.996414,22.496048,26.967812,-1009.759094,-2141.678955,-1185.379272,-1275.107666,-2074.704346,-1039.811401,-997.045044,1813.284302,1.164975,1.165059,1.164927,1.165324,1.165424,1.165205,1.164728,0.380212,1.0,1.0,9800.0,50.0,600.0,27.0,0.382079,0.810382,0.448532,0.482484,0.78504,0.393451,0.377268,-0.686122
63.708,26.999668,22.495487,26.967375,-1000.003052,-2133.191162,-1177.505371,-1265.881836,-2068.227051,-1034.591919,-993.993347,1812.391602,1.164996,1.165073,1.164913,1.165307,1.165418,1.165209,1.164724,0.379345,1.0,1.0,9800.0,50.0,600.0,27.0,0.378388,0.807171,0.445552,0.478993,0.782589,0.391476,0.376114,-0.685785
66.962997,26.990173,22.478315,26.967062,-994.830994,-2127.411865,-1172.254272,-1258.133423,-2063.302002,-1030.329346,-996.898926,1850.249512,1.164953,1.16505,1.164908,1.165324,1.165445,1.16519,1.164757,0.381282,1.0,1.0,9800.0,50.0,600.0,27.0,0.376431,0.804984,0.443565,0.476061,0.780726,0.389863,0.377213,-0.70011
70.218002,26.981052,22.480314,26.966188,-991.287781,-2122.411621,-1166.309692,-1250.937012,-2058.057861,-1025.77124,-992.839478,1845.193359,1.164998,1.16509,1.164927,1.165345,1.165443,1.165238,1.164775,0.380695,1.0,1.0,9800.0,50.0,600.0,27.0,0.37509,0.803092,0.441316,0.473338,0.778741,0.388138,0.375677,-0.698196
73.470001,26.964142,22.51297,26.968374,-988.479614,-2117.726562,-1161.468506,-1244.584473,-2053.321533,-1022.998352,-990.365784,1844.960937,1.164931,1.165017,1.164894,1.165278,1.165411,1.165172,1.164715,0.379944,1.0,1.0,9800.0,50.0,600.0,27.0,0.374027,0.801319,0.439484,0.470934,0.776949,0.387089,0.374741,-0.698108
76.722,26.949577,22.540318,26.965813,-984.955017,-2112.61377,-1156.087524,-1237.92395,-2048.352539,-1019.149414,-984.512207,1845.578613,1.164963,1.165016,1.1649,1.16529,1.165413,1.165189,1.164739,0.379324,1.0,1.0,9800.0,50.0,600.0,27.0,0.372694,0.799385,0.437448,0.468414,0.775069,0.385632,0.372526,-0.698342
79.975998,26.951925,22.507662,26.966375,-981.148193,-2106.782227,-1150.888306,-1232.493652,-2044.409668,-1016.777832,-981.725586,1838.439087,1.164945,1.165031,1.164871,1.165293,1.165402,1.16517,1.164755,0.37909,1.0,1.0,9800.0,50.0,600.0,27.0,0.371253,0.797178,0.435481,0.466359,0.773577,0.384735,0.371472,-0.695641
83.226997,26.952353,22.482374,26.964813,-977.207825,-2101.552246,-1146.14209,-1227.176392,-2041.559204,-1015.474915,-978.00708,1847.195923,1.164978,1.165048,1.164913,1.165322,1.165438,1.165218,1.16479,0.378764,1.0,1.0,9800.0,50.0,600.0,27.0,0.369762,0.795199,0.433685,0.464347,0.772499,0.384242,0.370065,-0.698954
86.479004,26.945898,22.521212,26.966688,-973.816528,-2097.243652,-1143.087158,-1224.081177,-2039.538696,-1014.792053,-978.062866,1837.530151,1.164995,1.165084,1.164914,1.165324,1.165447,1.165231,1.164774,0.378372,1.0,1.0,9800.0,50.0,600.0,27.0,0.368479,0.793569,0.432529,0.463176,0.771734,0.383984,0.370086,-0.695297
89.733002,26.955927,22.526394,26.966312,-970.578064,-2093.957031,-1140.292603,-1221.367065,-2038.226929,-1014.691895,-977.48938,1837.918335,1.16503,1.165095,1.164953,1.165362,1.165462,1.165248,1.164786,0.378158,1.0,1.0,9800.0,50.0,600.0,27.0,0.367254,0.792325,0.431471,0.462149,0.771238,0.383946,0.369869,-0.695444
92.988998,26.983559,22.531576,26.965063,-969.337524,-2091.935303,-1138.422485,-1219.643188,-2036.550415,-1014.896179,-974.876099,1833.68335,1.165011,1.165098,1.16493,1.165352,1.165455,1.165226,1.164776,0.377663,1.0,1.0,9800.0,50.0,600.0,27.0,0.366784,0.79156,0.430764,0.461497,0.770603,0.384023,0.36888,-0.693841
96.250999,26.993587,22.535011,26.964001,-968.073486,-2089.808594,-1136.882324,-1218.054687,-2035.212036,-1015.666321,-972.132324,1831.749756,1.165,1.165092,1.164906,1.165331,1.165441,1.165194,1.16479,0.377467,1.0,1.0,9800.0,50.0,600.0,27.0,0.366306,0.790755,0.430181,0.460896,0.770097,0.384314,0.367842,-0.69311
99.512001,26.979292,22.544813,26.965187,-966.209534,-2088.255371,-1134.724976,-1215.583496,-2033.587891,-1015.792603,-973.828552,1831.538818,1.165003,1.165068,1.164947,1.165366,1.165481,1.16525,1.164785,0.376871,1.0,1.0,9800.0,50.0,600.0,27.0,0.365601,0.790168,0.429365,0.45996,0.769482,0.384362,0.368484,-0.69303
102.774002,26.964994,22.52552,26.964813,-964.917358,-2086.123535,-1132.692993,-1213.580933,-2031.985474,-1016.330933,-969.744263,1826.07605,1.165006,1.165069,1.164932,1.165337,1.165467,1.165239,1.164764,0.376812,1.0,1.0,9800.0,50.0,600.0,27.0,0.365112,0.789361,0.428596,0.459203,0.768876,0.384566,0.366938,-0.690963
106.036003,26.958326,22.517403,26.9655,-964.046448,-2084.028809,-1130.780762,-1211.250122,-2030.424683,-1016.53418,-968.566406,1828.486572,1.164979,1.165069,1.164924,1.165325,1.165421,1.165212,1.16477,0.37625,1.0,1.0,9800.0,50.0,600.0,27.0,0.364782,0.788568,0.427872,0.458321,0.768285,0.384643,0.366493,-0.691875
109.293999,26.961102,22.551308,26.96575,-962.026855,-2082.180664,-1128.498901,-1208.403442,-2028.95105,-1016.500122,-967.787476,1823.998901,1.164997,1.165079,1.164906,1.165331,1.16544,1.165207,1.164762,0.376247,1.0,1.0,9800.0,50.0,600.0,27.0,0.364018,0.787869,0.427009,0.457244,0.767728,0.38463,0.366198,-0.690177
112.556,26.964727,22.558676,26.965876,-960.294495,-2079.365234,-1126.592285,-1206.248535,-2027.342407,-1016.833618,-966.228577,1824.923706,1.16496,1.165021,1.164867,1.165306,1.16543,1.165191,1.164743,0.375751,1.0,1.0,9800.0,50.0,600.0,27.0,0.363363,0.786804,0.426287,0.456428,0.767119,0.384756,0.365608,-0.690527
115.813004,26.978437,22.557114,26.966688,-958.570557,-2076.940918,-1124.749268,-1204.177979,-2026.080444,-1017.191101,-963.845032,1825.860962,1.165001,1.165079,1.164906,1.165305,1.165469,1.165223,1.164758,0.37548,1.0,1.0,9800.0,50.0,600.0,27.0,0.36271,0.785887,0.42559,0.455645,0.766642,0.384891,0.364706,-0.690881
119.073997,26.971663,22.583775,26.963751,-956.829651,-2074.840576,-1122.948853,-1202.432129,-2024.979736,-1017.420837,-962.388428,1822.148682,1.165006,1.165072,1.164908,1.165309,1.165448,1.165215,1.164774,0.375229,1.0,1.0,9800.0,50.0,600.0,27.0,0.362051,0.785092,0.424909,0.454984,0.766225,0.384978,0.364155,-0.689477
122.332001,26.964195,22.593454,26.963562,-955.744507,-2073.574707,-1121.464478,-1201.330566,-2023.670654,-1018.092224,-961.251465,1825.069702,1.16496,1.16503,1.164906,1.165297,1.165408,1.16518,1.164755,0.37479,1.0,1.0,9800.0,50.0,600.0,27.0,0.361641,0.784613,0.424347,0.454567,0.76573,0.385232,0.363725,-0.690582
125.593002,26.969582,22.587334,26.965376,-954.492859,-2071.762207,-1120.258301,-1199.507446,-2022.664185,-1019.247803,-959.87207,1822.823853,1.165005,1.165046,1.164905,1.16532,1.165433,1.165183,1.164749,0.374683,1.0,1.0,9800.0,50.0,600.0,27.0,0.361167,0.783927,0.423891,0.453877,0.765349,0.38567,0.363203,-0.689732
